track_name,artists_name,year,acousticness,danceability,energy,loudness,tempo,valence
Stomp (Remix),Kirk Franklin,1997,0.0438,0.832,0.918,-5.249,105.777,0.693
E O Mai,Kealii Reichel,1997,0.957,0.426,0.13,-17.199,79.66,0.396
Evil Eye,Fu Manchu,1997,0.000222,0.378,0.934,-7.011,82.962,0.493
Una Hoja En Blanco,Omar Geles,1997,0.273,0.601,0.597,-10.63,143.518,0.761
Corazon De Otro,La Makina,1997,0.247,0.717,0.678,-7.025,137.767,0.831
Roads,Strangefolk,1997,0.307,0.623,0.744,-8.01,123.339,0.61
Moonlight In Vermont,"Ella Fitzgerald, Louis Armstrong",1997,0.974,0.362,0.0387,-19.935,170.937,0.139
Freak It,Lathun,1997,0.000214,0.831,0.633,-9.364,129.948,0.79
Home - 2007 Remaster,Depeche Mode,1997,0.0829,0.473,0.725,-7.785,150.741,0.463
Another (feat. Lil Kim) - 2014 Remaster,"The Notorious B.I.G., Lil Kim",1997,0.00993,0.954,0.639,-5.02,112.08,0.653
If U Stay Ready,"Suga Free, Playa Hamm",1997,0.0194,0.701,0.688,-5.66,97.683,0.445
Otra Como Tu,Eros Ramazzotti,1997,0.101,0.52,0.691,-6.236,177.85,0.477
"Styrofoam Boots/Its All Nice on Ice, Alright",Modest Mouse,1997,0.266,0.628,0.655,-7.042,121.566,0.168
El Corrido De Amado Carrillo,Los Traileros Del Norte,1997,0.334,0.731,0.54,-8.982,95.871,0.968
Con Cartitas y Palabras,El Lobito de Sinaloa,1997,0.668,0.673,0.27,-12.706,119.151,0.964
Lady Dont Tek No,Latyrx,1997,0.0638,0.903,0.581,-4.562,97.125,0.851
Counterfeit,Limp Bizkit,1997,0.0364,0.462,0.943,-5.343,95.483,0.218
Only You,Portishead,1997,0.334,0.581,0.316,-12.212,120.349,0.108
Scattered,Green Day,1997,2.93e-05,0.507,0.991,-3.98,91.934,0.713
Cuando tÃº no estÃ¡s,El Tri,1997,0.0228,0.531,0.849,-4.433,135.288,0.763
Phenomenon,LL Cool J,1997,0.000331,0.862,0.606,-8.136,105.972,0.485
Princess Mononoke Theme Song (Vocal),Joe Hisaishi,1997,0.977,0.108,0.213,-14.614,78.356,0.0562
Los Tres Gallos,La Arrolladora Banda El LimÃn De Rene Camacho,1997,0.435,0.633,0.593,-7.646,104.875,0.978
Ye Yo - Live Version,Erykah Badu,1997,0.389,0.492,0.381,-8.947,108.788,0.297
Beep Me 911 (feat. 702 & Magoo),"Missy Elliott, 702, Magoo",1997,0.117,0.856,0.707,-8.223,123.021,0.788
Te Amo,Banda Cuisillos,1997,0.751,0.461,0.533,-5.029,115.134,0.721
The Race Is On,George Jones,1997,0.723,0.578,0.56,-11.873,85.541,0.875
El Ultimo Rodeo,Los Traficantes Del Norte,1997,0.372,0.738,0.851,-4.299,101.871,0.95
Arrepentida,Adolescents Orquesta,1997,0.454,0.737,0.614,-11.871,110.929,0.895
T-Bone Shuffle,Albert Collins,1997,0.00393,0.537,0.695,-9.88,131.307,0.77
All That Jazz,Chicago Ensemble (1997),1997,0.797,0.635,0.278,-12.551,133.517,0.626
The Flower Called Nowhere,Stereolab,1997,0.669,0.525,0.634,-9.952,105.701,0.546
Not If You Were The Last Junkie On Earth,The Dandy Warhols,1997,0.000208,0.45,0.719,-8.409,115.952,0.472
People Aint No Good - 2011 Remastered Version,Nick Cave & The Bad Seeds,1997,0.858,0.426,0.108,-17.461,120.069,0.226
"Symphony No. 7 in A Major, Op. 92: IV. Allegro con brio","Ludwig van Beethoven, Nicolaus Esterhazy Sinfonia, BÃ©la Drahos",1997,0.9,0.323,0.304,-15.739,146.104,0.4
Ceniza fria,Luis Vargas,1997,0.398,0.72,0.531,-7.868,82.376,0.961
Certainly,Erykah Badu,1997,0.0779,0.717,0.394,-9.891,71.074,0.179
Veinte AÃ±os,Buena Vista Social Club,1997,0.778,0.696,0.236,-17.336,114.646,0.531
I Dont Believe You Want To Get Up And Dance (Oops Up Side Your Head),The Gap Band,1997,0.246,0.646,0.786,-10.308,103.666,0.814
Ghetto D,"Master P, Silkk The Shocker, C-Murder, ODell & Porsha",1997,0.00424,0.761,0.743,-5.608,97.297,0.724
Static Age,Misfits,1997,0.0138,0.425,0.942,-9.018,133.98,0.511
Just Another Case,Cru,1997,0.114,0.824,0.555,-10.309,99.576,0.728
February Stars,Foo Fighters,1997,0.00825,0.267,0.316,-8.272,76.066,0.227
Got My Mojo Working,Muddy Waters,1997,0.573,0.519,0.779,-9.159,113.487,0.888
Tu Eres Mi Hembra,Teodoro Reyes,1997,0.559,0.853,0.344,-9.091,138.203,0.962
You Gotta Be,Desree,1998,0.176,0.663,0.753,-7.061,94.06,0.484
Great Big White World,Marilyn Manson,1998,4.1e-05,0.38,0.727,-7.397,165.85,0.115
Stand Beside Me,Jo Dee Messina,1998,0.179,0.587,0.72,-7.746,99.916,0.33
Hail Mary - Album Version (Edited),2Pac,1998,0.196,0.803,0.636,-6.482,82.058,0.386
Hard Knock Life,JAY-Z,1998,0.0663,0.864,0.664,-7.095,153.957,0.556
"We Three (My Echo, My Shadow, And Me)",The Ink Spots,1998,0.994,0.438,0.0555,-18.334,79.939,0.273
Quiero Que Sepas,Los Caminantes,1998,0.345,0.833,0.797,-7.844,105.896,0.984
All I Do,Kirk Whalum,1998,0.0475,0.833,0.493,-9.562,109.647,0.69
Perdedor,Intocable,1998,0.221,0.626,0.441,-11.879,123.982,0.752
All Night Long (feat. Puff Daddy),"Faith Evans, Diddy",1998,0.0243,0.712,0.773,-4.595,100.409,0.699
I Wish I Knew How It Would Feel to Be Free,Nina Simone,1998,0.709,0.654,0.483,-10.028,120.673,0.604
Jump Jive An Wail,The Brian Setzer Orchestra,1998,0.0311,0.638,0.811,-5.43,101.154,0.915
Como Perro Con Rabia,Joan Sebastian,1998,0.659,0.7,0.286,-8.506,132.293,0.769
Da Art of Storytellin (Pt. 2),OutKast,1998,0.000597,0.719,0.925,-5.235,92.843,0.262
Five Lessons Learned,Swingin Utters,1998,0.000781,0.316,0.981,-4.369,152.922,0.68
All About U,"2Pac, Snoop Dogg, Nate Dogg, Dru Down",1998,0.112,0.927,0.746,-5.341,103.008,0.818
9mm and a Three Piece Suit,Catch 22,1998,0.014,0.541,0.961,-5.53,136.03,0.821
Am I Evil?,Metallica,1998,0.00129,0.349,0.943,-5.704,97.491,0.518
We Dont Give A Fuck,"DMX, Jadakiss, Styles P",1998,0.00519,0.572,0.771,-10.561,88.893,0.692
Cleveland Rocks,The Presidents Of The United States Of America,1998,0.0171,0.438,0.816,-7.573,148.244,0.644
Marley Medley: Guava Jelly / This Train - Acoustic Version,Sublime,1998,0.748,0.534,0.0945,-13.917,77.668,0.275
Diamonds Are Forever,Shirley Bassey,1998,0.74,0.48,0.447,-10.962,96.771,0.255
Rapunzel,Dave Matthews Band,1998,0.308,0.602,0.771,-5.444,108.345,0.748
RecuÃ©rdame Bonito,Joan Sebastian,1998,0.416,0.64,0.552,-7.338,92.478,0.466
My Way (with Paul Anka),"Julio Iglesias, Paul Anka",1998,0.65,0.343,0.314,-10.809,77.779,0.125
Banned From TV,"N.O.R.E., Big Pun, Camâron, Jadakiss, Nature, Styles P",1998,0.00302,0.59,0.943,-6.012,92.392,0.522
Remote Control - Remastered,Beastie Boys,1998,0.331,0.614,0.961,-5.844,93.948,0.551
Let Her Dance,The Bobby Fuller Four,1998,0.00405,0.531,0.763,-12.456,141.765,0.974
Niggaz Done Started Something,"DMX, The LOX, Mase",1998,0.134,0.672,0.59,-9.843,178.102,0.691
Aint Life Grand,Widespread Panic,1998,0.00727,0.393,0.968,-5.533,97.59,0.612
Synthesizer (feat. George Clinton),"OutKast, George Clinton",1998,0.0109,0.629,0.66,-6.645,189.649,0.469
Friend Of Mine - Remix,"Kelly Price, R. Kelly, Ronald Isley",1998,0.35,0.737,0.366,-8.346,109.876,0.395
No Brakes,The Offspring,1998,0.128,0.34,0.991,-4.205,169.88,0.598
Lucio Vazquez,La Arrolladora Banda El LimÃn De Rene Camacho,1998,0.596,0.449,0.446,-8.376,209.424,0.975
Cerca De Ti,JesÃºs AdriÃ¡n Romero,1998,0.312,0.595,0.456,-10.426,104.922,0.142
"Cold, Cold Heart",Hank Williams,1998,0.898,0.574,0.164,-12.076,113.004,0.522
What Can I Do,"The Corrs, Tin Tin Out",1998,0.336,0.631,0.516,-7.514,78.0,0.688
Look Thru My Eyes,DMX,1998,0.243,0.904,0.642,-8.495,95.755,0.718
ç´è±,Faye Wong,1998,0.27,0.554,0.408,-10.609,111.821,0.17
Stand Up,Mel McDaniel,1998,0.233,0.675,0.589,-11.989,163.813,0.902
Closing Time,Semisonic,1998,0.084,0.444,0.84,-7.024,92.077,0.282
Lullaby Of The Leaves - 1998 Digital Remaster,Gerry Mulligan,1998,0.972,0.439,0.082,-17.066,124.69,0.492
"John Blaze (feat. Nas, Big Punisher, Jadakiss & Raekwon)","Fat Joe, Nas, Big Pun, Jadakiss, Raekwon",1998,0.1,0.694,0.89,-3.918,91.238,0.748
Gonna Be A Lovely Day,"Kirk Franklin, The Family",1998,0.128,0.768,0.574,-8.018,97.004,0.594
CUBErt,System Of A Down,1998,0.00086,0.48,0.918,-5.3,92.926,0.594
Loving County,Charlie Robison,1998,0.267,0.533,0.306,-11.708,104.708,0.15
Under My Tree,*NSYNC,1998,0.00755,0.529,0.592,-4.982,154.01,0.217
Me Cuesta Tanto Olvidarte,Mecano,1998,0.948,0.601,0.284,-10.552,99.644,0.536
So Slow,Freestyle,1998,0.505,0.725,0.332,-9.124,106.157,0.46
Mexicola,Queens of the Stone Age,1998,0.00359,0.437,0.895,-4.64,109.113,0.468
Seabird,Alessi Brothers,1998,0.136,0.733,0.384,-13.177,126.023,0.609
untitled,Neutral Milk Hotel,1998,0.00189,0.0733,0.873,-4.24,189.417,0.11
Nothing Else Matters,Apocalyptica,1998,0.566,0.346,0.198,-12.208,138.103,0.163
Walla Walla,The Offspring,1998,0.0199,0.499,0.94,-4.087,173.549,0.881
The Power of Good-Bye,Madonna,1998,0.0442,0.534,0.561,-11.089,84.978,0.219
I Can Still Feel You,Collin Raye,1998,0.0182,0.473,0.738,-8.803,188.075,0.573
I Belong To You,Lenny Kravitz,1998,0.000447,0.69,0.664,-7.715,87.286,0.63
"Midnight, The Stars and You",Al Bowlly,1998,0.958,0.378,0.257,-13.361,136.934,0.522
Time Bomb,Godsmack,1998,0.0025,0.488,0.807,-7.474,92.168,0.529
New Millennium Cyanide Christ,Meshuggah,1998,0.000209,0.359,0.968,-5.168,152.511,0.154
Re:Definition,Black Star,1998,0.044,0.41,0.864,-2.855,180.24,0.677
"Say Hello, Wave Goodbye",David Gray,1998,0.0906,0.599,0.408,-9.973,159.992,0.334
Way over Yonder in the Minor Key,"Billy Bragg, Wilco",1998,0.501,0.3,0.476,-9.712,170.928,0.222
Whatcha Gonna Do,"Jayo Felony, Method Man, DMX",1998,0.216,0.873,0.672,-8.237,92.704,0.555
SalomÃ©,Chayanne,1998,0.00335,0.773,0.813,-6.185,128.004,0.757
Me CaÃ­ de la Nube,Cornelio Reyna,1998,0.82,0.579,0.413,-4.797,77.073,0.729
Dormir SoÃ±ando,El Gran Silencio,1998,0.107,0.696,0.931,-6.634,112.597,0.776
"Its Goin Down (feat. Rappin 4-Tay, E-40, B-Legit & Mack 10) - Remix","Celly Cel, Rappin 4-Tay, E-40, B-Legit, Mack 10",1998,0.0629,0.804,0.519,-7.424,75.043,0.744
How Do U Want It - Edit,"2Pac, K-Ci & JoJo",1998,0.018,0.871,0.789,-4.384,92.459,0.561
Edgecrusher,Fear Factory,1998,0.000203,0.654,0.794,-5.393,122.051,0.585
La Bomba,Ricky Martin,1998,0.0841,0.715,0.949,-5.88,99.198,0.845
It Aint My Fault,Silkk The Shocker,1998,0.0987,0.721,0.508,-10.564,176.018,0.557
Lonely Women Make Good Lovers,Steve Wariner,1998,0.116,0.727,0.381,-12.473,117.543,0.705
Somebody Kill Me,Adam Sandler,1998,0.712,0.851,0.265,-14.402,116.467,0.94
So Many Tears,2Pac,1998,0.0159,0.9,0.655,-6.015,92.733,0.577
I Never Knew the Meaning of Christmas,*NSYNC,1998,0.105,0.595,0.701,-6.562,84.019,0.374
"The Nutcracker, Op.71, TH.14 / Act 2: No. 12b Coffee (Arabian Dance)","Pyotr Ilyich Tchaikovsky, Mariinsky Orchestra, Valery Gergiev",1998,0.941,0.156,0.00709,-34.153,97.925,0.041
Pig,Dave Matthews Band,1998,0.202,0.507,0.679,-7.923,120.053,0.504
Bobcaygeon,The Tragically Hip,1998,0.182,0.391,0.755,-7.05,170.333,0.42
QuÃ© Bonito,Los Mismos,1998,0.0916,0.711,0.81,-7.042,97.948,0.84
El Matador,Los Fabulosos Cadillacs,1998,0.031,0.565,0.926,-8.404,193.529,0.647
The Christmas Song (Chestnuts Roasting on an Open Fire),*NSYNC,1998,0.325,0.521,0.517,-9.974,102.427,0.334
Playing With The Big Boys - The Prince Of Egypt/Soundtrack Version,"Steve Martin, Martin Short",1998,0.578,0.427,0.354,-16.576,122.477,0.157
How Ya Livin featuring Nas,"AZ, Nas",1998,0.0634,0.831,0.508,-7.511,87.054,0.728
Ascension,Kirk Whalum,1998,0.0356,0.658,0.563,-10.327,95.996,0.596
Spirit Crusher,Death,1998,4.66e-05,0.289,0.968,-4.049,97.076,0.284
Desaparecido,Manu Chao,1998,0.669,0.591,0.627,-6.903,191.944,0.741
"She Said, She Said",Govt Mule,1998,0.000583,0.353,0.798,-5.881,136.127,0.594
My Gift to You,Korn,1998,6.06e-05,0.358,0.585,-6.194,102.656,0.0773
Father Figure,George Michael,1998,0.228,0.48,0.388,-10.702,102.046,0.247
Euro-Barge,The Vandals,1998,0.00464,0.488,0.988,-4.787,163.896,0.614
The Maker,Willie Nelson,1998,0.136,0.488,0.65,-12.261,172.082,0.604
BURNING UP FOR YOU,Sara,1998,0.000176,0.466,0.96,-5.108,156.585,0.344
Contigo AprendÃ­,Armando Manzanero,1998,0.705,0.468,0.141,-16.877,140.826,0.264
Kuch Kuch Hota Hai,"Jatin-Lalit, Udit Narayan, Alka Yagnik",1998,0.602,0.547,0.554,-11.165,91.386,0.848
Cyclone,Dub Pistols,1998,0.0181,0.808,0.869,-9.648,123.545,0.959
Disassociative,Marilyn Manson,1998,0.000147,0.293,0.683,-7.576,159.816,0.0728
The Stone,Dave Matthews Band,1998,0.425,0.358,0.737,-9.375,121.251,0.322
Chewbacca Roar,The Mad Wookiees,1998,0.818,0.483,0.892,-5.438,129.565,0.183
Because Of You,98º,1998,0.341,0.732,0.603,-7.624,104.498,0.514
Fuckin Wit D,DMX,1998,0.115,0.88,0.795,-4.918,100.786,0.832
The Wild Boys,Duran Duran,1998,0.407,0.741,0.838,-7.622,115.689,0.586
Me Dejaste Abandonado,Frank Reyes,1998,0.00676,0.771,0.499,-7.681,129.887,0.963
Put That on Everything,Brandy,1998,0.419,0.721,0.335,-7.377,126.383,0.489
The First Noel,*NSYNC,1998,0.00657,0.479,0.761,-6.008,83.308,0.361
Tu Mirada,Los Caminantes,1998,0.0983,0.737,0.895,-7.121,112.16,0.95
The Dreaming Tree,Dave Matthews Band,1998,0.332,0.494,0.571,-9.095,156.107,0.417
Open Road Song,Eve 6,1998,0.0251,0.482,0.773,-7.755,169.102,0.508
My Niggas,DMX,1998,0.0112,0.759,0.449,-9.938,91.658,0.287
How Long Will They Mourn Me?,"2Pac, Nate Dogg",1998,0.0641,0.814,0.664,-6.1,87.036,0.484
"Yes Sir, I Can Boogie",Baccara,1998,0.113,0.452,0.754,-8.347,122.5,0.507
The King Is Gone (So Are You),George Jones,1998,0.447,0.755,0.279,-14.788,116.821,0.405
No Creo,Shakira,1998,0.0362,0.669,0.885,-5.462,123.94,0.627
Do What You Gotta Do,Nina Simone,1998,0.606,0.311,0.463,-10.838,159.401,0.594
Snowbird,Anne Murray,1998,0.256,0.531,0.48,-10.633,104.117,0.881
El Niagara en Bicicleta,Juan Luis Guerra 4.40,1998,0.505,0.728,0.821,-7.52,125.327,0.887
Youth Gone Wild,Skid Row,1998,0.00227,0.534,0.818,-7.168,117.349,0.642
Kissing a Fool,George Michael,1998,0.168,0.394,0.274,-14.314,116.801,0.166
The Last Goodbye,Nicholas Payton,1998,0.96,0.32,0.156,-12.258,159.618,0.0664
Weâre Going to Ibiza!,Vengaboys,1998,0.0114,0.786,0.876,-4.899,103.983,0.966
Thanksgiving Theme,Vince Guaraldi Trio,1998,0.984,0.537,0.28,-15.302,96.446,0.287
Bears,Lyle Lovett,1998,0.113,0.607,0.636,-8.843,97.709,0.373
Inertia Creeps,Massive Attack,1998,0.0518,0.365,0.806,-8.948,167.383,0.388
Matrimony: Maybe You - Remastered 2018,Maxwell,1998,0.384,0.622,0.572,-9.16,96.073,0.342
A Rose Is Still a Rose,Aretha Franklin,1998,0.212,0.631,0.793,-7.551,175.814,0.826
A Bugs Life Suite - From A Bugs Life/Score,Randy Newman,1998,0.89,0.273,0.177,-15.528,112.718,0.163
My Boo - LP Radio Edit,Ghost Town DJs,1998,0.000284,0.826,0.613,-6.395,131.279,0.602
Say It,Voices of Theory,1998,0.675,0.381,0.415,-10.298,61.908,0.257
Trippin,Total,1998,0.173,0.753,0.831,-6.431,124.151,0.505
Why Dont You Do Right (Get Me Some Money Too) - Remastered 1998,Peggy Lee,1998,0.796,0.751,0.271,-10.175,125.534,0.494
Spookshow Baby,Rob Zombie,1998,0.0117,0.556,0.995,-3.414,125.026,0.14
Ambicion,Los Humildes,1998,0.304,0.597,0.622,-4.093,191.292,0.815
The Rockafeller Skank - Short Edit,Fatboy Slim,1998,0.00476,0.572,0.987,-6.259,152.636,0.126
Big Country,BÃla Fleck and the Flecktones,1998,0.845,0.279,0.528,-16.101,127.796,0.239
Battleflag (feat. Pigeonhed),"Lo Fidelity Allstars, Pigeonhed",1998,0.0399,0.663,0.868,-9.624,100.481,0.348
Top Shotter,"DMX, Sean Paul, Mr. Vegas",1998,0.0472,0.768,0.519,-7.306,99.093,0.452
Una Vez MÃ¡s,Grupo Bryndis,1998,0.232,0.68,0.641,-9.222,156.026,0.906
Kaw-Liga - Single Version,Hank Williams,1998,0.836,0.631,0.291,-11.039,111.341,0.72
Where Dem Dollas At (feat. DJ Paul & Juicy J),"Gangsta Boo, DJ Paul, Juicy J",1998,0.00238,0.898,0.56,-8.891,146.458,0.465
Why Does It Have to Be (Wrong or Right),Restless Heart,1998,0.244,0.752,0.488,-11.498,88.945,0.804
A Go Go,John Scofield,1998,0.517,0.679,0.412,-13.252,105.027,0.499
Heading for the Door,Duster,1998,0.162,0.496,0.505,-9.569,127.351,0.196
Only You (feat. Notorious B.I.G. and Mase) - Greatest Hits Version,"112, Mase, The Notorious B.I.G.",1998,0.0162,0.764,0.502,-6.392,95.952,0.779
A Different Corner,George Michael,1998,0.857,0.266,0.287,-10.34,99.148,0.15
Rain,Steve Conte,1998,0.586,0.485,0.183,-8.518,72.02,0.0672
Still Doin Time,George Jones,1998,0.753,0.633,0.368,-11.086,123.883,0.275
Am I the Only One (Whos Ever Felt This Way),The Chicks,1998,0.0534,0.65,0.627,-5.004,132.08,0.597
Hijo de la Luna,Mecano,1998,0.677,0.449,0.535,-7.209,179.113,0.607
Special,Garbage,1998,8.79e-05,0.443,0.944,-3.71,131.828,0.573
Love Me (feat. Mase),"112, Mase",1998,0.124,0.654,0.817,-5.898,90.063,0.649
Memory,SEATBELTS,1998,0.926,0.524,0.0195,-26.262,132.963,0.346
Lonely Soul,"UNKLE, Richard Ashcroft",1998,0.0776,0.475,0.591,-7.854,91.609,0.123
Charlie Brown Theme,Vince Guaraldi Trio,1998,0.167,0.566,0.15,-18.763,124.039,0.0919
Bad Dog No Biscuits,SEATBELTS,1998,0.00532,0.4,0.976,-6.113,164.656,0.422
Sunday Sermon,Booker T. & the M.G.s,1998,0.343,0.608,0.25,-18.002,81.105,0.552
O Holy Night,Celine Dion,1998,0.717,0.161,0.295,-8.873,76.938,0.0565
I Can Feel It,DMX,1998,0.122,0.838,0.59,-8.385,95.047,0.526
This Means War!! (feat. Ozzy Osbourne),"Busta Rhymes, Ozzy Osbourne",1998,0.00362,0.633,0.87,-2.929,80.339,0.329
Money Aint A Thang,"JAY-Z, Jermaine Dupri",1998,0.0546,0.86,0.702,-8.412,100.047,0.857
Wanna Be A Baller - Edit,Lil Troy,1998,0.0897,0.922,0.54,-8.66,92.05,0.674
2 Of Amerikaz Most Wanted - Album Version (Edited),"2Pac, Snoop Dogg",1998,0.103,0.751,0.835,-4.54,198.289,0.6
"Satisfied Mind - Live at WFMU, East Orange, NJ - Oct 1992",Jeff Buckley,1998,0.932,0.434,0.028,-17.724,90.275,0.137
Mis Recuerdos,La Arrolladora Banda El LimÃn De Rene Camacho,1998,0.591,0.746,0.364,-9.506,87.114,0.951
Whos Gonna Fill Their Shoes - Live,George Jones,1998,0.669,0.439,0.308,-11.23,138.2,0.304
This Is My Promise,The Temptations,1998,0.111,0.626,0.611,-7.875,138.048,0.556
Bella Pero Mala,Los Temerarios,1998,0.586,0.726,0.557,-8.754,118.305,0.85
Pupilas Lejanas,Los Pericos,1998,0.135,0.694,0.531,-8.43,75.003,0.949
Metal Heart,Cat Power,1998,0.873,0.439,0.337,-11.212,115.244,0.0493
Atado a Tu Amor,Chayanne,1998,0.213,0.555,0.559,-5.603,137.862,0.267
El Celular,Grupo Laberinto,1998,0.72,0.41,0.475,-6.123,58.9,0.964
Prieta Linda,Los Caminantes,1998,0.111,0.864,0.683,-7.003,107.857,0.972
Je ne taime plus,Manu Chao,1998,0.911,0.649,0.438,-12.859,149.897,0.932
Secret Smile,Semisonic,1998,0.289,0.551,0.516,-9.587,99.045,0.547
If I Needed You,Lyle Lovett,1998,0.598,0.474,0.374,-11.122,128.595,0.356
Oiga,"Joan Sebastian, Prisma",1998,0.707,0.659,0.494,-7.768,103.591,0.354
"Vaughan Williams: Job, Scene 9: Epilogue","Ralph Vaughan Williams, Andrew Davis, BBC Symphony Orchestra",1998,0.866,0.129,0.00212,-43.738,99.253,0.039
Kelly Watch the Stars,Air,1998,0.285,0.516,0.739,-8.471,109.837,0.256
Chonkyfire,OutKast,1998,0.0617,0.595,0.675,-8.817,90.966,0.358
Piano Black,SEATBELTS,1998,0.166,0.701,0.725,-10.296,120.866,0.65
Too Good Too Bad,SEATBELTS,1998,0.236,0.599,0.898,-7.196,123.014,0.59
Blackout,"DMX, JAY-Z, The LOX",1998,0.0509,0.7,0.723,-8.797,85.68,0.657
Spoliarium,Eraserheads,1998,0.562,0.367,0.428,-12.259,170.722,0.538
Movin On,MÃ½a,1998,0.236,0.74,0.569,-9.641,90.457,0.608
Maquina 501,Paraiso Tropical,1998,0.27,0.626,0.33,-9.268,133.839,0.973
å¥½å¿åæ,"Candy Lo, Leehom Wang",1998,0.601,0.734,0.536,-4.686,114.036,0.591
Regresa A MÃ­,Grupo Bryndis,1998,0.083,0.63,0.643,-8.457,145.938,0.478
Satan Is My Motor,Cake,1998,0.149,0.684,0.705,-8.355,102.394,0.969
All N My Grill (feat. Big Boi of Outkast & Nicole),"Missy Elliott, Big Boi",1998,0.164,0.544,0.65,-8.714,84.372,0.833
Mentira,Manu Chao,1998,0.474,0.604,0.579,-8.3,75.942,0.793
I NEED YOUR LOVE,Dave Simon,1998,0.00239,0.458,0.955,-4.335,157.998,0.707
Octavo DÃ­a,Shakira,1998,0.308,0.505,0.663,-5.904,80.761,0.208
Dammit,blink-182,1998,1.32e-05,0.347,0.975,-4.847,110.487,0.287
Cenizas,ToÃ±a La Negra,1998,0.797,0.677,0.349,-5.921,108.668,0.726
Que Te Vas,Los Temerarios,1998,0.373,0.8,0.501,-8.981,150.477,0.822
Carrera A Muerte,Joan Sebastian,1998,0.572,0.77,0.461,-5.394,122.372,0.88
Y.M.C.A. - Single Version,Village People,1998,0.0796,0.746,0.792,-11.161,126.536,0.779
Halloween,AFI,1999,0.00234,0.286,0.93,-8.49,99.741,0.128
Stumblin In,"Suzi Quatro, Chris Norman",1999,0.127,0.758,0.634,-13.338,129.29,0.905
Vuela Paloma,Los Caminantes,1999,0.0475,0.65,0.671,-9.139,109.371,0.762
Corrido Del 8,El Halcon De La Sierra,1999,0.16,0.515,0.768,-6.704,208.464,0.927
Tremble For My Beloved,Collective Soul,1999,0.000332,0.457,0.938,-6.523,121.848,0.212
Ackrite,"Dr. Dre, Hittman",1999,0.0695,0.864,0.741,-3.356,94.229,0.859
La Lola,CafÃ© Quijano,1999,0.0646,0.725,0.79,-4.393,151.985,0.867
Cum On Everybody,Eminem,1999,0.0254,0.887,0.758,-6.43,105.118,0.652
None Of Ur Friends Business,Ginuwine,1999,0.243,0.83,0.414,-11.136,99.234,0.556
Take Me to Your Heart,Michael Learns To Rock,1999,0.236,0.65,0.438,-10.358,122.009,0.393
100% Dundee,The Roots,1999,0.124,0.629,0.904,-6.189,99.73,0.721
Danke Schoen - Remastered,Wayne Newton,1999,0.293,0.388,0.211,-16.875,144.561,0.508
S Club Party,S Club 7,1999,0.0697,0.638,0.879,-6.534,101.999,0.778
Amiga,Los Gamma,1999,0.585,0.578,0.289,-14.837,74.992,0.41
One More Road To Cross,DMX,1999,0.0582,0.73,0.921,-4.928,94.284,0.47
Housewife,"Dr. Dre, Hittman, Kurupt",1999,0.252,0.89,0.705,-2.56,92.892,0.917
"RÃªverie, L. 68: RÃªverie","Claude Debussy, Julian Lloyd Webber, Royal Philharmonic Orchestra, James Judd",1999,0.988,0.135,0.0428,-26.085,63.831,0.0394
Into The Void,Nine Inch Nails,1999,0.145,0.712,0.796,-5.926,93.046,0.361
In the Midst of It All,Yolanda Adams,1999,0.483,0.381,0.668,-5.731,87.508,0.338
Love of My Life (feat. Dave Matthews & Carter Beauford),"Santana, Dave Matthews, Carter Beauford",1999,0.322,0.397,0.773,-5.931,93.148,0.844
Big Booty Hoes (feat. Too $hort) - 2005 Remaster,"The Notorious B.I.G., Too $hort",1999,0.0255,0.907,0.837,-5.013,98.965,0.649
Pero Tu Mirada,Los YaguarÃº,1999,0.701,0.781,0.609,-5.068,83.835,0.754
Hit Or Miss,New Found Glory,1999,0.000937,0.261,0.992,-4.46,177.446,0.533
First Love,Hikaru Utada,1999,0.122,0.438,0.434,-8.37,179.913,0.195
You Wanted More,Tonic,1999,0.00066,0.368,0.96,-4.514,182.68,0.629
From the Bottom of My Broken Heart,Britney Spears,1999,0.56,0.677,0.665,-5.171,74.981,0.706
Stolen Car,Beth Orton,1999,0.181,0.561,0.715,-8.291,106.849,0.445
Along Comes Mary,Bloodhound Gang,1999,0.00107,0.635,0.758,-7.173,155.043,0.733
You Learn - Live / Unplugged,Alanis Morissette,1999,0.0639,0.308,0.781,-7.052,166.931,0.283
"La Copa de la Vida (La Cancion Oficial de la Copa Mundial, Francia 98) - Spanglish Radio Edit",Ricky Martin,1999,0.0276,0.713,0.938,-6.032,126.974,0.706
Are You Ready?,Creed,1999,2.51e-05,0.433,0.881,-5.635,144.85,0.382
Muscle Museum,Muse,1999,0.00779,0.447,0.534,-7.502,79.99,0.373
Fast As You Can,Fiona Apple,1999,0.131,0.46,0.772,-9.233,138.002,0.531
Sigue Sin MÃ­,Marco Antonio SolÃ­s,1999,0.423,0.256,0.446,-7.137,74.041,0.0929
The Wretched,Nine Inch Nails,1999,0.0108,0.634,0.752,-7.318,140.006,0.554
Watch Out Now,The Beatnuts,1999,0.0969,0.781,0.633,-6.983,100.414,0.913
Anything,JAY-Z,1999,0.0621,0.803,0.749,-5.953,81.502,0.901
Still Here,The Williams Brothers,1999,0.167,0.649,0.536,-7.654,70.728,0.746
Next Year,Foo Fighters,1999,0.00551,0.415,0.865,-2.789,176.864,0.465
